Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
9/26/2021 23:24,9/27/2021 6:39,PDT,435,403,20,12
9/25/2021 23:34,9/26/2021 8:38,PDT,545,518,19,8
9/21/2021 23:09,9/22/2021 7:05,PDT,476,457,19,0
9/20/2021 23:44,9/21/2021 7:25,PDT,461,441,19,2
9/18/2021 23:15,9/19/2021 9:30,PDT,615,513,75,27
9/18/2021 0:09,9/18/2021 7:38,PDT,449,437,12,0
9/16/2021 23:33,9/17/2021 6:52,PDT,439,427,12,0
9/16/2021 0:53,9/16/2021 6:45,PDT,352,344,8,0
9/15/2021 0:14,9/15/2021 6:39,PDT,386,370,15,0
9/13/2021 23:28,9/14/2021 7:35,PDT,488,471,17,0
9/12/2021 23:45,9/13/2021 6:43,PDT,418,400,18,0
9/11/2021 23:56,9/12/2021 8:31,PDT,514,493,16,5
9/10/2021 21:41,9/11/2021 7:43,PDT,602,576,25,1
9/10/2021 0:36,9/10/2021 6:44,PDT,368,358,10,0
9/8/2021 23:04,9/9/2021 6:45,PDT,461,439,21,0
9/7/2021 22:55,9/8/2021 6:28,PDT,453,439,14,0
9/6/2021 22:37,9/7/2021 6:36,PDT,479,463,16,0
9/5/2021 23:30,9/6/2021 6:45,PDT,434,422,12,0
9/4/2021 22:22,9/5/2021 7:01,PDT,519,488,30,0
9/4/2021 1:31,9/4/2021 7:52,PDT,380,366,14,0
9/2/2021 21:30,9/3/2021 6:30,PDT,540,484,38,18
9/1/2021 23:38,9/2/2021 6:26,PDT,408,395,12,0
8/31/2021 23:45,9/1/2021 6:18,PDT,393,384,9,0
8/30/2021 23:27,8/31/2021 6:41,PDT,433,421,12,0
8/30/2021 0:17,8/30/2021 6:43,PDT,385,354,23,9
8/29/2021 0:46,8/29/2021 7:51,PDT,424,399,21,4
8/26/2021 22:19,8/27/2021 7:27,PDT,548,499,49,0
8/25/2021 21:36,8/26/2021 6:49,PDT,552,496,44,12
8/23/2021 22:38,8/24/2021 7:26,PDT,527,508,16,4
8/22/2021 22:00,8/23/2021 7:25,PDT,566,510,55,0
8/21/2021 22:30,8/22/2021 8:00,PDT,570,527,43,0
8/20/2021 22:24,8/21/2021 8:22,PDT,598,544,54,0
8/19/2021 23:57,8/20/2021 10:22,PDT,625,574,51,0
8/18/2021 23:51,8/19/2021 2:30,PDT,159,151,8,0
8/17/2021 22:02,8/18/2021 7:41,PDT,579,529,46,3
8/16/2021 22:29,8/17/2021 8:03,PDT,574,538,32,4
8/15/2021 22:18,8/16/2021 5:30,PDT,431,412,20,0
8/15/2021 0:31,8/15/2021 8:54,PDT,503,481,21,2
