Date,Views,Average percentage viewed (%),Unique viewers,Subscribers,Watch time (hours),Average view duration,Shares,Likes,Dislikes,Comments added,Impressions,Impressions click-through rate (%)
9/20/20,501,27.21,379,3,48.756,0:05:50,3,4,0,2,4170,4.92
9/21/20,489,12.4,406,3,20.1213,0:02:28,2,9,0,1,2716,6.04
9/22/20,388,18.79,307,2,22.7566,0:03:31,0,6,0,3,3136,5.99
9/23/20,493,15.45,404,3,24.5804,0:02:59,0,4,0,1,3105,5.7
9/24/20,578,10.95,478,4,21.4188,0:02:13,1,5,1,0,3279,5.34
9/25/20,334,19.46,259,0,20.2128,0:03:37,0,4,0,0,2473,5.82
9/26/20,347,24.3,272,3,27.1825,0:04:42,0,7,0,2,2124,6.92
9/27/20,422,32.41,341,2,44.3986,0:06:18,1,10,1,1,3648,5.54
9/28/20,405,19.29,308,0,22.5898,0:03:20,1,11,1,0,2747,5.93
9/29/20,388,21.66,296,3,23.7747,0:03:40,0,3,0,0,2497,6.33
9/30/20,419,25.53,331,3,31.0024,0:04:26,2,5,0,1,2263,6.89
10/1/20,348,22.85,264,1,23.5549,0:04:03,2,4,1,0,2567,5.69
10/2/20,335,19.28,263,0,19.9408,0:03:34,0,5,0,0,2040,6.91
10/3/20,321,21.24,248,0,18.9639,0:03:32,1,3,0,0,1648,6.92
10/4/20,394,20.12,304,1,22.5775,0:03:26,1,1,0,0,1923,8.22
10/5/20,354,20.76,280,4,22.0064,0:03:43,3,11,0,2,2293,6.37
10/6/20,409,20.25,312,2,25.2979,0:03:42,5,8,1,2,2571,6.57
10/7/20,491,20.11,377,6,33.8674,0:04:08,1,8,1,1,2915,5.32
10/8/20,495,16.71,363,4,27.6696,0:03:21,2,11,0,3,2379,6.89
10/9/20,423,20.48,314,1,26.8025,0:03:48,3,9,0,4,2265,5.52
10/10/20,408,18.83,278,2,23.9408,0:03:31,2,11,0,2,1705,6.1
10/11/20,494,28.91,364,3,43.3018,0:05:15,1,15,0,5,2270,5.64
10/12/20,378,15.12,294,0,17.3312,0:02:45,0,13,0,1,2255,5.01
10/13/20,393,18.33,296,1,21.5027,0:03:16,3,11,0,4,3635,5.67
10/14/20,406,18.31,294,2,22.5657,0:03:20,0,11,0,5,3840,5.81
10/15/20,368,18.29,277,1,20.0976,0:03:16,2,9,0,1,3108,6.31
10/16/20,325,19.5,236,4,19.2923,0:03:33,3,9,1,3,2720,4.89
10/17/20,268,19.09,212,0,14.8978,0:03:20,1,4,0,0,2108,5.5
10/18/20,403,15.31,263,2,19.2456,0:02:51,1,7,0,1,3336,6
10/19/20,339,15.42,269,2,16.3731,0:02:53,0,6,0,0,2730,6.3
10/20/20,344,17.62,268,2,18.1721,0:03:10,1,8,0,1,3132,5.2
10/21/20,371,19.19,288,3,21.9293,0:03:32,0,4,0,0,2994,6.18
10/22/20,359,16.95,301,3,18.3814,0:03:04,1,5,0,0,3238,6.24
10/23/20,311,17.72,252,1,16.2893,0:03:08,0,5,1,0,3294,5.13
10/24/20,247,23.92,203,3,16.8507,0:04:05,0,5,0,0,1878,6.39
10/25/20,338,19.21,269,2,19.6305,0:03:29,0,7,0,1,2700,6.26
10/26/20,308,17.78,233,6,16.5962,0:03:13,1,7,1,1,3922,4.46
10/27/20,372,14.99,288,2,16.9014,0:02:43,2,1,0,0,2786,5.81
10/28/20,386,17.13,318,2,20.0354,0:03:06,2,5,1,2,2700,7.52
10/29/20,361,18.29,308,2,18.7381,0:03:06,0,3,0,0,2811,6.05
10/30/20,314,15.66,247,1,14.4296,0:02:45,2,2,0,1,2134,7.45
10/31/20,277,17.87,235,1,14.04,0:03:02,1,5,1,0,1796,7.57
11/1/20,336,16.31,275,1,15.6666,0:02:47,2,3,0,0,2670,6.63
11/2/20,326,17.04,272,3,15.9472,0:02:56,1,4,0,0,2899,5.24
11/3/20,322,19.24,258,1,17.728,0:03:18,2,7,0,3,2221,7.2
11/4/20,323,19.86,270,0,17.9964,0:03:20,0,7,0,1,2272,7.66
11/5/20,332,18.21,270,2,17.5627,0:03:10,2,3,0,0,2248,6.67
11/6/20,394,18.02,298,2,20.8227,0:03:10,5,8,0,0,2241,8.17
11/7/20,315,20.41,254,2,19.1347,0:03:38,4,2,0,0,2434,6.41
11/8/20,413,28.22,318,4,41.9477,0:06:05,4,7,0,1,3182,4.87
11/9/20,360,19.92,298,0,20.1991,0:03:21,2,4,0,1,2259,7.08
11/10/20,409,19.34,313,0,21.6532,0:03:10,3,4,0,0,2261,8.31
11/11/20,337,23.67,291,2,22.2563,0:03:57,1,2,0,1,3479,5.17
11/12/20,421,18.94,334,2,22.3209,0:03:10,1,2,2,0,4025,5.29
11/13/20,317,21.26,261,-1,19.0214,0:03:36,2,8,0,0,2177,7.85
11/14/20,301,18.53,236,3,15.3259,0:03:03,3,9,0,0,2365,6.34
11/15/20,404,19.53,314,3,23.693,0:03:31,1,4,2,1,2917,6.34
11/16/20,350,19.01,289,0,19.5021,0:03:20,0,3,0,0,2243,6.91
11/17/20,430,16.96,346,2,21.6342,0:03:01,2,5,0,1,2657,6.85
11/18/20,422,19.48,331,8,23.4169,0:03:19,4,7,0,0,3423,5.05
11/19/20,403,18.99,322,1,21.5344,0:03:12,1,10,0,2,2861,6.85
11/20/20,473,19.25,356,3,24.1137,0:03:03,3,5,0,2,3257,6.6
11/21/20,333,21.03,265,3,19.6569,0:03:32,4,9,0,0,2428,6.63
11/22/20,351,18.08,284,1,17.9757,0:03:04,2,2,1,0,2342,7.69
11/23/20,467,16.71,357,3,22.1795,0:02:50,0,5,1,3,3499,6.23
11/24/20,369,16.69,315,2,17.531,0:02:51,2,7,0,0,3366,4.96
11/25/20,423,17.07,335,4,20.6758,0:02:55,3,7,1,0,2707,7.61
11/26/20,324,20.19,267,0,17.3056,0:03:12,2,4,0,0,2235,6.17
11/27/20,342,17.47,282,1,16.9266,0:02:58,3,4,0,1,2143,6.39
11/28/20,356,17.75,292,2,18.6663,0:03:08,3,11,0,0,2401,6
11/29/20,381,18.79,303,1,19.9101,0:03:08,2,6,0,1,2531,6.32
11/30/20,431,20.6,328,3,25.9938,0:03:37,7,8,0,0,2882,6.11
12/1/20,387,21.26,317,2,23.1317,0:03:35,3,7,0,1,2753,5.88
12/2/20,471,20.57,375,1,26.3841,0:03:21,6,6,0,0,2731,6.85
12/3/20,403,19.16,326,0,22.0721,0:03:17,1,2,0,0,2692,6.43
12/4/20,304,17.09,256,2,14.086,0:02:46,4,6,0,1,2050,7.22
12/5/20,323,19.96,256,1,18.983,0:03:31,1,5,1,0,2233,5.91
12/6/20,359,18.55,301,2,18.7116,0:03:07,5,4,0,0,2617,6.69
12/7/20,379,19.99,295,2,22.6984,0:03:35,3,9,0,0,2851,5.93
12/8/20,368,20.99,297,4,22.7377,0:03:42,1,9,0,1,3066,6.23
12/9/20,385,20.34,309,2,22.093,0:03:26,8,7,0,1,3017,6.6
12/10/20,381,18.24,291,5,19.7327,0:03:06,3,4,1,1,3100,5.68
12/11/20,328,19.67,283,2,18.2758,0:03:20,1,6,0,2,2348,5.96
12/12/20,269,19.01,209,2,15.2582,0:03:24,1,3,0,2,2473,4.81
12/13/20,314,18.48,266,0,16.3162,0:03:07,5,4,1,1,2191,7.3
12/14/20,315,18.49,258,1,17.8002,0:03:23,0,4,0,1,2593,5.05
12/15/20,377,20.91,292,2,23.3108,0:03:42,5,4,1,1,2315,6.09
12/16/20,280,21.92,229,0,16.5091,0:03:32,1,3,0,0,2272,5.68
