,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2021-01-01,56.1,45.0,69.1,0.0,,,0.5,,1018.7,
1,2021-01-02,55.0,46.9,64.9,0.0,,98.3,0.7,,1023.4,
2,2021-01-03,55.8,51.1,63.0,0.0,,61.7,1.7,,1022.6,
3,2021-01-04,54.9,48.9,62.1,0.0,,348.8,1.3,,1021.2,
4,2021-01-05,54.7,48.9,63.0,0.0,,18.1,1.0,,1020.0,
5,2021-01-06,57.7,48.9,71.1,0.0,,354.9,0.5,,1019.0,
6,2021-01-07,56.3,46.0,75.0,0.0,,351.8,1.3,,1018.2,
7,2021-01-08,56.7,46.9,66.9,0.0,,359.9,1.6,,1018.7,
8,2021-01-09,59.7,50.0,73.9,0.0,,60.4,2.3,,1017.5,
9,2021-01-10,58.5,48.0,71.1,0.0,,356.8,1.8,,1020.8,
10,2021-01-11,58.6,46.0,73.9,0.0,,353.4,1.0,,1021.2,
11,2021-01-12,59.0,48.9,72.0,0.0,,353.7,1.7,,1023.5,
12,2021-01-13,59.9,48.9,75.0,0.0,,4.4,1.3,,1022.4,
13,2021-01-14,64.2,51.1,82.9,0.0,,5.3,0.7,,1020.1,
14,2021-01-15,68.2,53.1,88.0,0.0,,0.0,0.0,,1018.4,
15,2021-01-16,68.2,55.0,87.1,0.0,,2.5,0.2,,1014.8,
16,2021-01-17,68.0,54.0,84.9,0.0,,17.8,0.9,,1014.3,
17,2021-01-18,63.7,54.0,78.1,0.0,,105.2,0.8,,1009.2,
18,2021-01-19,60.8,54.0,71.1,0.2,,64.1,5.1,,1008.1,
19,2021-01-20,64.4,54.0,75.9,0.0,,42.4,1.2,,1013.5,
20,2021-01-21,61.3,53.1,70.0,0.0,,171.0,1.9,,1016.1,
21,2021-01-22,57.0,52.0,63.0,0.0,,188.2,3.6,,1015.2,
22,2021-01-23,51.1,48.0,55.0,9.2,,113.3,2.2,,1012.7,
23,2021-01-24,51.3,43.0,60.1,0.7,,203.4,3.3,,1012.3,
24,2021-01-25,49.8,44.1,55.0,1.3,,294.0,4.2,,1007.6,
25,2021-01-26,49.3,41.0,57.9,0.0,,312.2,10.8,,1015.2,
26,2021-01-27,54.0,50.0,61.0,0.0,,111.8,7.0,,1020.0,
27,2021-01-28,54.7,46.0,64.0,6.7,,129.4,5.2,,1014.7,
28,2021-01-29,51.4,48.0,54.0,17.7,,137.9,1.4,,1014.7,
29,2021-01-30,52.2,44.1,62.1,0.0,,344.2,1.2,,1021.1,
30,2021-01-31,59.0,48.9,71.1,0.0,,0.7,1.6,,1020.1,
31,2021-02-01,63.1,57.9,72.0,0.0,,6.7,1.2,,1017.4,
32,2021-02-02,60.8,54.0,71.1,0.0,,237.1,1.2,,1017.5,
33,2021-02-03,57.7,50.0,66.0,0.0,,84.4,1.3,,1017.6,
34,2021-02-04,58.1,54.0,66.0,0.0,,63.3,0.9,,1019.8,
35,2021-02-05,57.4,50.0,68.0,0.0,,354.2,1.9,,1018.3,
36,2021-02-06,58.5,46.9,72.0,0.0,,330.3,1.4,,1015.4,
