,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2021-01-01,27.86,15.8,41.0,,,,,,,
1,2021-01-02,29.66,15.8,46.4,0.0,,231.1,10.2,,1017.3,
2,2021-01-03,36.32,24.8,48.2,0.0,,270.1,15.3,,1013.3,
3,2021-01-04,39.38,26.6,51.8,0.0,,282.9,15.7,,1019.2,
4,2021-01-05,38.12,26.6,50.0,0.9,,216.4,13.9,,1013.7,
5,2021-01-06,36.14,24.8,46.4,0.4,,339.0,20.6,,1021.2,
6,2021-01-07,31.64,24.8,35.6,0.0,,22.6,7.6,,1026.2,
7,2021-01-08,34.88,32.0,42.8,0.0,,186.6,7.3,,1028.3,
8,2021-01-09,33.44,28.4,39.2,0.0,,329.8,3.2,,1029.8,
9,2021-01-10,30.2,21.2,37.4,0.0,,330.7,6.1,,1031.1,
10,2021-01-11,28.22,14.0,50.0,0.0,,256.5,12.3,,1025.6,
11,2021-01-12,34.88,17.6,57.2,0.0,,269.9,12.6,,1021.2,
12,2021-01-13,46.76,26.6,64.4,0.0,,274.5,17.7,,1010.3,
13,2021-01-14,38.66,32.0,46.4,0.4,,321.2,38.1,,1016.0,
14,2021-01-15,30.92,19.4,39.2,0.0,,331.0,35.3,,1019.6,
15,2021-01-16,37.22,19.4,51.8,0.1,,309.4,17.0,,1017.4,
16,2021-01-17,33.8,23.0,48.2,0.0,,289.5,17.1,,1018.1,
17,2021-01-18,38.84,24.8,48.2,0.0,,314.8,19.8,,1016.7,
18,2021-01-19,29.66,19.4,46.4,0.0,,292.5,14.8,,1031.3,
19,2021-01-20,33.98,15.8,60.8,0.0,,257.4,14.6,,1018.0,
20,2021-01-21,32.72,15.8,51.8,0.0,,342.2,11.2,,1016.5,
21,2021-01-22,27.5,14.0,39.2,0.0,,116.3,12.8,,1023.1,
22,2021-01-23,25.16,17.6,32.0,0.0,,129.1,15.7,,1016.0,
23,2021-01-24,27.68,24.8,32.0,0.5,,61.7,11.2,,1018.1,
24,2021-01-25,23.36,17.6,26.6,13.7,,22.2,13.2,,1012.3,
25,2021-01-26,14.54,8.599999999999998,17.6,4.4,,47.8,11.4,,1022.1,
26,2021-01-27,11.3,5.0,17.6,0.7,,117.7,7.0,,1032.2,
27,2021-01-28,16.159999999999997,6.800000000000001,28.4,0.0,,171.0,12.6,,1028.3,
28,2021-01-29,19.22,12.2,26.6,0.0,,93.5,5.7,,1013.5,
29,2021-01-30,23.0,12.2,33.8,0.0,,336.1,17.1,,1009.0,
30,2021-01-31,31.46,23.0,41.0,0.0,,313.6,14.9,,1028.6,
31,2021-02-01,31.82,21.2,46.4,0.0,,198.3,10.8,,1026.0,
32,2021-02-02,30.38,21.2,44.6,0.0,,200.1,7.5,,1018.5,
33,2021-02-03,41.36,26.6,64.4,0.2,,233.0,10.9,,1006.2,
34,2021-02-04,32.72,24.8,42.8,2.8,,317.7,22.2,,1013.7,
35,2021-02-05,34.88,26.6,46.4,0.0,,299.2,14.6,,1012.6,
36,2021-02-06,17.96,12.2,26.6,2.2,,96.0,14.5,,1020.1,
37,2021-02-07,9.14,3.1999999999999993,14.0,1.7,,118.4,18.5,,1020.1,
38,2021-02-08,4.459999999999997,1.3999999999999986,8.599999999999998,0.0,,86.3,10.7,,1026.5,
39,2021-02-09,7.34,5.0,12.2,0.0,,90.5,9.1,,1029.7,
40,2021-02-10,6.98,1.3999999999999986,12.2,0.0,,77.0,12.5,,1030.7,
41,2021-02-11,3.5599999999999987,-4.0,14.0,0.0,,79.9,13.3,,1033.8,
42,2021-02-12,0.6800000000000033,-2.200000000000003,5.0,0.4,,84.0,14.3,,1036.5,
43,2021-02-13,-0.5800000000000054,-7.600000000000001,5.0,2.4,,63.8,11.5,,1035.5,
44,2021-02-14,-4.0,-18.4,1.3999999999999986,2.9,,42.4,12.8,,1041.6,
45,2021-02-15,-12.280000000000001,-25.6,-0.3999999999999986,0.0,,95.5,9.7,,1034.4,
46,2021-02-16,5.18,-13.0,12.2,0.0,,154.4,18.3,,1020.4,
47,2021-02-17,9.5,3.1999999999999993,17.6,0.0,,137.6,8.1,,1023.4,
48,2021-02-18,17.96,6.800000000000001,23.0,0.0,,304.5,7.2,,1031.9,
49,2021-02-19,19.759999999999998,1.3999999999999986,37.4,0.0,,232.5,10.8,,1024.1,
50,2021-02-20,33.26,15.8,59.0,0.0,,188.5,14.1,,1014.5,
51,2021-02-21,34.7,28.4,44.6,0.3,,310.4,20.6,,1016.9,
52,2021-02-22,42.44,28.4,60.8,0.0,,283.5,20.1,,1016.9,
53,2021-02-23,46.04,28.4,69.80000000000001,0.0,,270.8,16.1,,1010.6,
54,2021-02-24,35.24,23.0,48.2,0.0,,345.4,10.9,,1023.9,
55,2021-02-25,34.52,28.4,44.6,0.3,,209.7,9.3,,1028.5,
56,2021-02-26,34.34,19.4,53.6,0.0,,215.3,11.8,,1013.1,
57,2021-02-27,38.480000000000004,21.2,59.0,0.0,,126.8,15.2,,1008.2,
58,2021-02-28,30.92,21.2,42.8,0.0,,310.9,19.3,,1020.9,
59,2021-03-01,37.04,19.4,53.6,0.0,,275.0,11.2,,1027.5,
60,2021-03-02,45.5,23.0,71.6,0.0,,215.8,12.7,,1017.8,
61,2021-03-03,46.22,24.8,69.80000000000001,0.0,,5.8,8.6,,1015.2,
62,2021-03-04,45.68,23.0,66.2,2.3,,117.1,12.1,,1015.4,
63,2021-03-05,47.66,32.0,66.2,0.1,,3.1,8.3,,1023.8,
64,2021-03-06,50.36,30.2,69.80000000000001,0.0,,200.8,20.1,,1019.8,
65,2021-03-07,52.879999999999995,35.6,71.6,0.0,,189.3,15.7,,1016.7,
66,2021-03-08,51.980000000000004,32.0,68.0,0.0,,172.6,19.8,,1015.3,
67,2021-03-09,57.379999999999995,35.6,78.80000000000001,0.0,,192.3,13.4,,1005.8,
68,2021-03-10,42.08,32.0,51.8,0.0,,328.6,15.5,,1006.1,
69,2021-03-11,39.38,24.8,55.400000000000006,0.0,,41.2,9.9,,1021.7,
70,2021-03-12,39.56,30.2,50.0,1.7,,93.1,15.6,,1027.0,
71,2021-03-13,37.58,35.6,41.0,47.1,,71.3,19.2,,1021.3,
72,2021-03-14,46.4,41.0,59.0,,,,,,,
73,2021-03-15,40.64,35.6,48.2,2.6,,24.5,15.9,,1008.9,
74,2021-03-16,39.92,33.8,51.8,0.0,,16.9,10.7,,1011.3,
75,2021-03-17,34.52,30.2,39.2,0.0,,355.2,25.5,,1018.5,
76,2021-03-18,35.24,30.2,46.4,0.0,,350.4,17.7,,1027.2,
77,2021-03-19,39.74,23.0,57.2,0.0,,168.1,14.4,,1029.5,
78,2021-03-20,52.7,37.4,68.0,0.0,,174.1,29.2,,1017.9,
79,2021-03-21,50.540000000000006,41.0,60.8,0.3,,336.5,24.0,,1012.9,
80,2021-03-22,37.4,33.8,44.6,20.9,,23.1,20.3,,1012.9,
81,2021-03-23,37.76,35.6,41.0,13.1,,345.1,36.2,,1006.9,
82,2021-03-24,41.0,33.8,50.0,0.0,,1.2,17.2,,1014.0,
83,2021-03-25,38.84,28.4,51.8,0.0,,188.8,12.0,,1010.9,
84,2021-03-26,45.5,35.6,60.8,0.3,,122.9,13.2,,1010.4,
85,2021-03-27,39.56,33.8,55.400000000000006,0.1,,311.1,15.9,,1018.6,
86,2021-03-28,48.019999999999996,32.0,65.84,0.0,,240.1,13.6,,1021.6,
87,2021-03-29,57.379999999999995,43.16,75.74000000000001,0.0,,204.7,17.6,,1002.3,
88,2021-03-30,41.36,33.98,49.64,0.0,,348.5,16.9,,1018.1,
89,2021-03-31,37.4,25.88,49.28,0.0,,342.6,9.5,,1031.7,
90,2021-04-01,44.24,28.94,61.519999999999996,0.0,,175.8,16.6,,1028.3,
91,2021-04-02,55.58,43.7,70.52,0.0,,190.1,17.1,,1015.8,
92,2021-04-03,57.92,40.28,76.1,0.0,,174.3,10.0,,1017.8,
93,2021-04-04,66.2,50.18,82.03999999999999,0.0,,199.0,14.4,,1012.9,
94,2021-04-05,68.53999999999999,55.22,82.4,0.0,,176.7,14.4,,1003.6,
95,2021-04-06,64.4,44.24,78.08000000000001,0.0,,197.4,24.4,,998.1,
96,2021-04-07,44.06,39.2,50.0,6.6,,337.6,41.6,,1010.4,
97,2021-04-08,53.6,33.8,73.4,0.0,,309.2,19.9,,1007.4,
98,2021-04-09,42.980000000000004,30.2,50.0,1.1,,329.8,25.7,,1012.0,
99,2021-04-10,47.84,28.4,66.2,0.0,,292.3,14.5,,1012.4,
100,2021-04-11,50.0,32.0,64.4,0.1,,326.7,27.2,,1008.5,
101,2021-04-12,45.5,30.2,59.0,0.5,,343.3,15.3,,1020.1,
102,2021-04-13,42.620000000000005,26.6,55.400000000000006,0.0,,318.1,11.4,,1025.1,
103,2021-04-14,40.82,26.6,51.8,0.0,,44.9,14.3,,1026.0,
104,2021-04-15,39.56,30.2,46.4,4.1,,93.0,11.7,,1022.1,
105,2021-04-16,37.04,32.0,42.8,11.3,,3.2,17.2,,1020.8,
106,2021-04-17,41.54,30.2,51.8,0.3,,339.7,17.4,,1023.2,
107,2021-04-18,45.14,24.8,66.2,0.0,,290.3,10.7,,1019.3,
108,2021-04-19,34.52,26.6,41.0,2.2,,23.3,22.8,,1020.6,
109,2021-04-20,32.36,19.4,46.4,2.8,,312.0,19.6,,1025.1,
110,2021-04-21,36.14,23.0,48.2,0.0,,315.3,12.5,,1025.7,
111,2021-04-22,46.04,30.2,62.6,0.7,,162.8,26.7,,1014.5,
112,2021-04-23,50.540000000000006,32.0,68.0,0.0,,134.5,11.4,,1011.0,
113,2021-04-24,48.56,35.6,64.4,0.0,,84.1,14.8,,1016.8,
114,2021-04-25,61.7,42.8,82.4,0.0,,150.8,16.1,,1007.3,
115,2021-04-26,71.06,46.4,91.4,0.0,,215.8,17.1,,999.5,
116,2021-04-27,58.28,51.8,68.0,5.7,,29.9,21.9,,1005.8,
117,2021-04-28,50.900000000000006,46.4,55.400000000000006,2.3,,355.2,16.8,,1016.1,
118,2021-04-29,55.400000000000006,39.2,75.2,0.0,,322.6,17.2,,1023.1,
119,2021-04-30,64.75999999999999,39.2,84.2,0.0,,215.2,15.9,,1022.7,
120,2021-05-01,71.24000000000001,51.8,91.4,0.0,,205.9,22.8,,1010.0,
121,2021-05-02,65.30000000000001,53.6,84.2,8.2,,162.7,19.0,,1001.4,
122,2021-05-03,53.42,48.2,57.2,3.5,,3.6,27.6,,1013.5,
123,2021-05-04,53.24,41.0,64.4,0.0,,11.1,9.6,,1020.6,
124,2021-05-05,56.84,42.8,71.6,0.1,,282.8,17.4,,1021.4,
125,2021-05-06,53.6,39.2,68.0,0.0,,51.0,9.7,,1027.0,
126,2021-05-07,61.519999999999996,44.6,78.80000000000001,0.0,,145.5,16.9,,1016.8,
127,2021-05-08,59.0,46.4,75.2,0.0,,61.4,22.4,,1006.6,
128,2021-05-09,48.92,42.8,59.0,0.0,,26.0,19.1,,1019.2,
129,2021-05-10,47.120000000000005,39.2,57.2,3.3,,105.2,12.5,,1023.3,
130,2021-05-11,47.480000000000004,44.6,51.8,2.7,,288.3,7.9,,1026.6,
131,2021-05-12,48.56,32.0,60.8,0.1,,177.1,14.0,,1029.2,
132,2021-05-13,55.400000000000006,35.6,73.4,0.9,,179.7,20.8,,1024.0,
133,2021-05-14,61.519999999999996,48.2,75.2,1.7,,111.9,16.7,,1019.3,
134,2021-05-15,63.5,55.400000000000006,73.4,3.6,,116.9,12.7,,1017.9,
135,2021-05-16,66.38,59.0,75.2,24.1,,111.4,14.1,,1015.3,
136,2021-05-17,59.540000000000006,57.2,62.6,8.9,,89.1,12.4,,1016.4,
137,2021-05-18,62.42,53.6,71.6,11.1,,116.6,15.0,,1014.9,
138,2021-05-19,61.7,51.8,75.2,0.3,,147.4,14.4,,1014.4,
139,2021-05-20,66.92,57.2,78.80000000000001,0.6,,162.8,23.0,,1013.1,
140,2021-05-21,70.88,62.6,82.4,0.0,,164.0,31.5,,1016.1,
141,2021-05-22,70.34,62.6,80.6,0.0,,163.6,21.2,,1021.6,
142,2021-05-23,70.34,62.6,78.80000000000001,0.5,,162.1,27.0,,1019.1,
143,2021-05-24,63.14,57.2,69.80000000000001,2.2,,159.3,13.3,,1016.4,
144,2021-05-25,68.9,57.2,80.6,36.6,,292.4,8.7,,1017.5,
145,2021-05-26,64.75999999999999,51.8,80.6,28.4,,126.3,19.3,,1017.8,
146,2021-05-27,61.519999999999996,50.0,71.6,0.0,,17.9,22.3,,1017.9,
147,2021-05-28,53.06,42.8,66.2,0.0,,75.2,13.5,,1022.2,
148,2021-05-29,57.92,46.4,73.4,0.3,,137.4,20.0,,1021.0,
149,2021-05-30,54.86,51.8,59.0,31.0,,121.1,12.2,,1022.8,
150,2021-05-31,58.82,51.8,69.80000000000001,9.7,,62.9,10.6,,1025.1,
151,2021-06-01,60.08,42.8,73.4,0.0,,147.3,8.4,,1022.6,
152,2021-06-02,63.86,48.2,77.0,0.1,,106.5,7.9,,1018.4,
153,2021-06-03,68.72,50.0,86.0,0.0,,211.1,8.0,,1017.1,
154,2021-06-04,73.58000000000001,53.6,87.80000000000001,0.0,,197.2,12.1,,1015.5,
155,2021-06-05,75.74000000000001,60.8,87.80000000000001,0.0,,186.9,21.2,,1011.4,
156,2021-06-06,74.30000000000001,60.8,87.80000000000001,0.0,,186.0,18.9,,1009.3,
157,2021-06-07,77.36,62.6,89.6,0.0,,179.9,14.2,,1011.2,
158,2021-06-08,76.64,66.2,87.80000000000001,0.1,,149.0,17.9,,1014.6,
159,2021-06-09,78.80000000000001,66.2,91.4,1.8,,134.8,16.3,,1017.1,
160,2021-06-10,82.4,71.6,96.8,0.2,,157.0,20.9,,1013.5,
161,2021-06-11,75.74000000000001,60.8,86.0,0.0,,20.1,20.8,,1014.8,
162,2021-06-12,71.06,50.0,87.80000000000001,0.0,,124.1,14.3,,1020.6,
163,2021-06-13,78.25999999999999,62.6,93.2,3.1,,142.1,14.6,,1020.5,
164,2021-06-14,83.12,66.2,96.8,0.0,,158.9,13.2,,1020.8,
165,2021-06-15,84.56,64.4,100.4,0.0,,174.9,15.3,,1020.3,
166,2021-06-16,86.72,69.80000000000001,104.0,0.0,,198.4,19.4,,1017.2,
167,2021-06-17,88.88,66.2,107.60000000000001,0.0,,208.9,18.2,,1013.4,
168,2021-06-18,83.48,69.80000000000001,96.8,0.0,,46.8,15.2,,1012.6,
169,2021-06-19,76.1,64.4,87.80000000000001,0.3,,71.5,16.7,,1013.0,
170,2021-06-20,78.98,64.4,86.0,0.0,,20.9,26.8,,1012.0,
171,2021-06-21,68.0,59.0,78.80000000000001,6.0,,321.2,13.0,,1020.3,
172,2021-06-22,75.38,55.400000000000006,95.0,0.0,,205.5,18.5,,1012.8,
173,2021-06-23,80.42,60.8,98.60000000000001,0.0,,168.8,16.3,,1010.0,
174,2021-06-24,78.80000000000001,71.6,86.0,0.5,,58.6,16.8,,1011.8,
175,2021-06-25,73.94,64.4,86.0,0.6,,35.3,11.3,,1013.3,
176,2021-06-26,69.08000000000001,60.8,80.6,0.0,,344.7,12.8,,1015.7,
177,2021-06-27,70.34,53.6,84.2,0.1,,325.4,8.8,,1018.6,
178,2021-06-28,69.25999999999999,59.0,84.2,0.4,,21.0,11.5,,1021.6,
179,2021-06-29,69.98,57.2,82.4,0.2,,57.2,9.1,,1024.0,
180,2021-06-30,72.68,60.8,86.0,0.1,,112.4,10.0,,1022.7,
181,2021-07-01,72.5,64.4,84.2,0.1,,107.6,10.2,,1021.7,
182,2021-07-02,72.32,57.2,86.0,0.0,,128.9,10.5,,1022.3,
183,2021-07-03,77.0,60.8,91.4,0.0,,177.7,17.9,,1018.9,
184,2021-07-04,78.44,62.6,95.0,2.7,,181.4,12.5,,1016.1,
185,2021-07-05,77.36,60.8,93.2,0.0,,169.6,13.8,,1017.7,
186,2021-07-06,72.5,64.4,89.6,2.2,,210.0,12.9,,1018.7,
187,2021-07-07,73.75999999999999,66.2,86.0,0.0,,43.3,9.7,,1019.8,
188,2021-07-08,79.34,62.6,96.8,0.0,,176.7,21.4,,1015.2,
189,2021-07-09,82.94,68.0,98.60000000000001,0.0,,153.4,13.1,,1013.8,
190,2021-07-10,74.66,59.0,87.80000000000001,0.3,,1.1,19.8,,1019.1,
191,2021-07-11,68.53999999999999,55.400000000000006,82.4,0.0,,24.8,12.3,,1022.1,
192,2021-07-12,71.96000000000001,50.0,89.6,0.0,,173.8,10.1,,1020.6,
193,2021-07-13,78.08000000000001,57.2,96.8,0.0,,138.1,13.6,,1018.5,
194,2021-07-14,79.7,71.6,89.6,0.0,,154.2,17.4,,1015.4,
195,2021-07-15,72.5,66.2,82.4,0.1,,41.0,10.3,,1018.0,
196,2021-07-16,76.46000000000001,64.4,91.4,0.0,,131.6,12.1,,1017.5,
197,2021-07-17,78.62,62.6,93.2,0.0,,141.6,14.0,,1020.1,
198,2021-07-18,74.48,66.2,87.80000000000001,2.2,,118.1,12.3,,1023.6,
199,2021-07-19,74.66,62.6,89.6,4.5,,129.4,11.3,,1024.9,
200,2021-07-20,73.4,60.8,86.0,0.0,,152.0,13.1,,1023.6,
201,2021-07-21,75.56,60.8,91.4,0.0,,181.1,20.1,,1020.5,
202,2021-07-22,80.42,64.4,96.8,0.0,,176.8,19.1,,1018.5,
203,2021-07-23,82.22,62.6,98.60000000000001,0.0,,182.1,16.6,,1017.2,
204,2021-07-24,79.52,62.6,95.0,0.8,,19.8,13.3,,1018.0,
205,2021-07-25,76.82,69.80000000000001,87.80000000000001,1.4,,107.4,18.7,,1019.8,
206,2021-07-26,79.16,60.8,96.8,0.0,,151.8,12.1,,1018.7,
207,2021-07-27,82.75999999999999,64.4,98.60000000000001,0.0,,168.2,14.7,,1019.7,
208,2021-07-28,87.44,71.6,102.2,0.0,,179.9,17.5,,1019.0,
209,2021-07-29,87.62,71.6,102.2,0.0,,177.9,13.2,,1020.2,
210,2021-07-30,86.36,69.80000000000001,100.4,0.0,,158.0,13.9,,1019.7,
211,2021-07-31,73.4,68.0,80.6,0.2,,29.4,16.4,,1022.9,
212,2021-08-01,76.28,64.4,87.80000000000001,0.1,,49.1,10.5,,1026.3,
213,2021-08-02,73.58000000000001,53.6,91.4,0.0,,168.3,12.6,,1023.8,
214,2021-08-03,75.74000000000001,59.0,95.0,0.0,,167.6,12.4,,1019.7,
215,2021-08-04,74.66,62.6,93.2,1.1,,237.8,13.6,,1019.0,
216,2021-08-05,75.74000000000001,59.0,93.2,0.5,,192.4,8.3,,1018.8,
217,2021-08-06,83.12,60.8,102.2,0.0,,204.6,19.6,,1014.0,
218,2021-08-07,79.16,66.2,91.4,0.0,,142.0,12.7,,1011.5,
219,2021-08-08,76.46000000000001,53.6,96.8,0.0,,210.2,10.5,,1012.0,
220,2021-08-09,83.12,59.0,104.0,0.0,,190.8,18.0,,1012.1,
221,2021-08-10,79.88,66.2,93.2,0.0,,64.0,14.5,,1014.9,
222,2021-08-11,78.08000000000001,60.8,93.2,0.0,,72.4,14.7,,1014.0,
223,2021-08-12,77.53999999999999,59.0,96.8,4.2,,44.7,17.3,,1017.4,
224,2021-08-13,72.5,62.6,84.2,1.3,,85.7,12.5,,1025.2,
225,2021-08-14,77.0,64.4,91.4,0.4,,154.2,16.5,,1025.0,
226,2021-08-15,77.72,64.4,95.0,0.1,,151.8,20.9,,1019.2,
227,2021-08-16,79.7,68.0,93.2,0.2,,165.1,17.9,,1015.6,
228,2021-08-17,76.82,59.0,93.2,0.0,,181.4,18.0,,1014.0,
229,2021-08-18,77.0,64.4,89.6,0.0,,163.1,21.1,,1015.0,
230,2021-08-19,77.53999999999999,68.0,89.6,0.2,,145.2,22.6,,1014.4,
231,2021-08-20,74.30000000000001,64.4,87.80000000000001,0.0,,11.9,20.1,,1011.8,
232,2021-08-21,69.44,57.2,84.2,0.0,,44.7,13.7,,1019.1,
233,2021-08-22,78.08000000000001,64.4,100.4,1.2,,141.5,19.4,,1014.3,
234,2021-08-23,84.2,66.2,102.2,0.0,,146.7,16.6,,1011.9,
235,2021-08-24,84.56,64.4,102.2,0.0,,45.1,15.7,,1012.5,
236,2021-08-25,76.28,66.2,86.0,0.1,,32.0,18.0,,1019.4,
237,2021-08-26,80.42,62.6,100.4,0.0,,147.9,19.9,,1017.3,
