,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
0,2021-01-01,48.4,46.0,51.1,5.8,0.0,144.4,20.2,1014.5
1,2021-01-02,49.6,48.0,52.0,19.3,0.0,185.8,23.4,1012.7
2,2021-01-03,49.8,43.0,54.0,7.6,0.0,135.8,18.4,1014.1
3,2021-01-04,48.9,45.0,53.1,15.2,0.0,169.5,21.6,1008.1
4,2021-01-05,46.2,42.1,51.1,0.0,0.0,139.2,18.7,1018.7
5,2021-01-06,48.4,45.0,53.1,19.3,0.0,113.0,10.8,1017.0
6,2021-01-07,46.9,44.1,52.0,0.0,0.0,110.7,18.7,1021.9
7,2021-01-08,48.0,34.0,52.0,4.3,0.0,79.3,8.3,1024.1
8,2021-01-09,40.5,35.1,48.0,0.0,0.0,66.2,13.7,1025.7
9,2021-01-10,44.1,42.1,46.0,3.0,0.0,119.5,19.1,1024.3
10,2021-01-11,45.0,44.1,46.9,14.5,0.0,118.8,24.5,1018.6
11,2021-01-12,50.4,46.0,61.0,49.3,0.0,171.5,25.6,1009.1
12,2021-01-13,54.1,42.1,61.0,0.5,0.0,268.5,10.8,1027.0
13,2021-01-14,45.0,37.9,55.0,0.0,0.0,47.9,10.4,1029.4
14,2021-01-15,47.5,41.0,50.0,4.6,0.0,44.4,4.7,1030.2
15,2021-01-16,45.7,42.1,50.0,0.0,0.0,100.4,7.9,1029.4
16,2021-01-17,45.9,39.0,52.0,1.0,0.0,31.2,4.3,1032.0
17,2021-01-18,44.2,35.1,53.1,0.0,0.0,339.9,6.1,1033.2
18,2021-01-19,40.3,31.1,52.0,0.0,0.0,327.1,4.3,1030.2
19,2021-01-20,38.1,30.2,46.9,0.3,0.0,0.9,1.4,1022.4
20,2021-01-21,44.1,41.0,46.9,3.0,0.0,52.6,5.4,1017.5
21,2021-01-22,44.2,33.1,51.1,0.0,0.0,353.9,7.6,1016.1
22,2021-01-23,37.0,27.1,46.9,0.0,0.0,229.9,2.2,1020.3
23,2021-01-24,40.8,39.0,41.0,9.1,0.0,142.2,7.2,1010.8
24,2021-01-25,38.7,36.0,44.1,0.0,0.0,142.8,8.3,1011.9
25,2021-01-26,38.8,35.1,41.0,3.6,0.0,116.6,26.6,1002.5
26,2021-01-27,39.4,37.9,45.0,3.6,0.0,113.8,12.2,1000.3
27,2021-01-28,42.4,39.9,46.0,2.0,0.0,93.3,9.4,1006.4
