,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2021-01-01,55.6,44.1,70.0,0.0,,338.8,2.9,,1019.3,
1,2021-01-02,55.0,44.1,66.0,0.0,,340.5,3.6,,1024.4,
2,2021-01-03,54.9,46.0,64.0,0.0,,353.9,4.7,,1023.4,
3,2021-01-04,55.8,46.9,64.0,0.0,,352.7,6.1,,1022.3,
4,2021-01-05,55.6,48.9,61.0,0.0,,340.1,6.8,,1020.4,
5,2021-01-06,54.5,48.9,63.0,0.0,,348.2,5.0,,1020.2,
6,2021-01-07,55.2,46.0,68.0,0.0,,320.5,4.7,,1018.9,
7,2021-01-08,55.6,48.0,66.9,0.0,,341.2,4.7,,1019.9,
8,2021-01-09,53.4,42.1,68.0,0.0,,337.5,3.6,,1018.4,
9,2021-01-10,55.9,44.1,73.0,0.0,,348.7,4.3,,1021.2,
10,2021-01-11,55.9,43.0,70.0,0.0,,336.1,5.8,,1021.8,
11,2021-01-12,57.4,44.1,72.0,0.0,,341.6,4.7,,1024.0,
12,2021-01-13,57.7,46.0,72.0,0.0,,,4.7,,1022.9,
13,2021-01-14,60.8,48.0,81.0,0.0,,344.7,5.0,,1020.5,
14,2021-01-15,67.3,53.1,88.0,0.0,,342.9,3.2,,1018.8,
15,2021-01-16,63.1,50.0,73.9,0.0,,191.8,3.6,,1015.2,
16,2021-01-17,64.0,52.0,82.0,0.0,,232.1,3.2,,1015.2,
17,2021-01-18,59.4,50.0,69.1,0.0,,179.4,6.5,,1010.9,
18,2021-01-19,61.7,55.9,73.0,0.0,,81.6,12.2,,1007.9,
19,2021-01-20,67.1,59.0,73.0,0.3,,58.0,11.9,,1013.1,
20,2021-01-21,64.8,55.0,69.1,0.0,0.0,167.4,4.7,,1017.2,
21,2021-01-22,61.2,57.0,64.0,0.8,0.0,171.4,11.5,,1016.7,
22,2021-01-23,57.4,48.0,60.1,9.7,0.0,314.6,8.6,,1013.8,
23,2021-01-24,52.0,46.9,60.1,3.3,,190.2,7.9,,1013.8,
24,2021-01-25,55.0,50.0,57.0,5.6,,275.3,34.9,,1010.6,
25,2021-01-26,54.7,46.9,59.0,0.0,,266.3,13.3,,1016.7,
26,2021-01-27,52.3,43.0,62.1,0.0,,140.6,4.0,,1021.2,
27,2021-01-28,54.3,46.0,64.0,2.0,,142.9,9.4,,1016.0,
28,2021-01-29,57.6,48.9,62.1,24.1,,180.5,9.4,,1015.9,
29,2021-01-30,52.7,45.0,62.1,0.0,,342.2,5.0,,1021.4,
30,2021-01-31,54.9,45.0,68.0,0.0,,344.8,4.3,,1020.3,
31,2021-02-01,61.9,57.0,72.0,0.0,,332.3,6.1,,1018.1,
32,2021-02-02,62.2,57.9,66.9,0.0,,332.2,7.6,,1018.2,
33,2021-02-03,58.8,55.0,62.1,0.0,,280.3,6.1,,1018.6,
34,2021-02-04,59.4,53.1,63.0,0.0,,195.1,9.0,,1020.0,
35,2021-02-05,57.0,48.0,66.0,0.0,,333.2,5.4,,1019.1,
36,2021-02-06,57.4,46.0,69.1,0.0,,,4.7,,1016.1,
37,2021-02-07,56.1,48.9,66.9,0.0,,198.3,5.4,,1014.9,
38,2021-02-08,56.5,54.0,60.1,0.0,,181.5,6.8,,1016.0,
39,2021-02-09,57.9,55.9,62.1,0.0,,164.1,7.6,,1017.1,
40,2021-02-10,58.5,53.1,63.0,0.0,,334.2,6.8,,1017.3,
41,2021-02-11,56.8,48.9,66.9,0.0,,307.1,6.8,,1017.3,
42,2021-02-12,60.4,53.1,64.9,0.8,,260.9,11.5,,1015.4,
43,2021-02-13,57.6,52.0,63.0,0.3,,218.7,9.7,,1014.1,
44,2021-02-14,59.2,52.0,66.0,0.0,,279.8,8.3,,1014.5,
45,2021-02-15,56.7,48.9,64.0,0.0,,169.4,7.9,,1017.8,
46,2021-02-16,59.9,55.0,64.0,1.5,,239.6,10.1,,1016.2,
47,2021-02-17,57.6,48.9,64.0,0.0,,211.1,6.1,,1017.0,
48,2021-02-18,57.6,46.0,69.1,0.0,,351.0,7.9,,1025.0,
49,2021-02-19,56.8,45.0,68.0,0.0,,335.8,6.5,,1023.5,
50,2021-02-20,57.0,48.0,66.0,0.0,,,6.1,,1021.2,
51,2021-02-21,60.3,46.0,82.0,0.0,,346.2,6.1,,1023.9,
52,2021-02-22,61.7,45.0,78.1,0.0,,344.2,5.8,,1021.0,
53,2021-02-23,62.1,46.9,75.0,0.0,,249.9,4.7,,1017.2,
54,2021-02-24,60.1,48.9,68.0,0.0,,172.3,7.2,,1017.5,
55,2021-02-25,61.2,50.0,71.1,0.0,,301.5,7.6,,1018.5,
56,2021-02-26,59.7,46.0,73.9,0.0,,335.8,4.7,,1016.2,
57,2021-02-27,59.4,51.1,64.9,0.0,,180.9,6.8,,1014.4,
58,2021-02-28,60.1,48.0,73.9,0.0,,346.6,5.8,,1019.8,
59,2021-03-01,60.1,46.0,77.0,0.0,,,5.8,,1020.8,
60,2021-03-02,58.6,44.1,72.0,0.0,,235.2,4.3,,1013.5,
61,2021-03-03,57.2,48.9,63.0,14.7,,174.7,13.0,,1012.7,
62,2021-03-04,58.1,52.0,66.0,0.0,,323.9,8.3,,1023.1,
63,2021-03-05,58.5,48.9,69.1,0.0,,322.6,7.6,,1019.7,
64,2021-03-06,59.7,53.1,66.9,0.0,,294.2,9.4,,1017.7,
65,2021-03-07,59.2,53.1,64.0,0.0,,197.4,10.4,,1018.3,
66,2021-03-08,60.3,55.9,64.0,0.0,,279.9,10.8,,1021.9,
67,2021-03-09,58.5,51.1,64.0,0.0,,307.0,11.2,,1022.0,
68,2021-03-10,58.1,52.0,63.0,4.6,,236.9,13.0,,1019.9,
69,2021-03-11,55.9,50.0,60.1,12.4,,307.5,9.4,,1018.6,
70,2021-03-12,54.3,48.9,61.0,0.0,,257.5,10.1,,1021.4,
71,2021-03-13,56.5,52.0,64.0,0.0,,263.6,10.8,,1025.2,
72,2021-03-14,58.3,55.0,63.0,0.0,,,6.5,,,
73,2021-03-15,57.6,54.0,59.0,4.3,,255.6,20.9,,1018.2,
74,2021-03-16,55.2,50.0,61.0,0.3,,279.0,10.4,,1018.4,
75,2021-03-17,54.3,46.0,62.1,0.0,,339.9,6.8,,1020.1,
76,2021-03-18,57.0,50.0,63.0,0.0,,336.4,10.1,,1020.7,
77,2021-03-19,58.1,50.0,66.9,0.0,,338.7,9.0,,1021.2,
