Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2021-11-03 12:48 AM,2021-11-03 6:57 AM,PDT,369,357,12,0
2021-11-01 7:30 PM,2021-11-02 8:52 AM,PDT,803,603,186,13
2021-11-01 12:18 AM,2021-11-01 7:13 AM,PDT,415,399,15,0
2021-10-31 12:30 AM,2021-10-31 7:58 AM,PDT,448,425,19,4
2021-10-30 12:40 AM,2021-10-30 8:44 AM,PDT,485,459,25,0
2021-10-28 9:59 PM,2021-10-29 7:15 AM,PDT,556,530,26,1
2021-10-27 11:25 PM,2021-10-28 7:23 AM,PDT,478,452,26,0
2021-10-26 11:35 PM,2021-10-27 7:16 AM,PDT,461,438,23,0
2021-10-25 10:36 PM,2021-10-26 7:26 AM,PDT,530,507,23,0
2021-10-24 11:24 PM,2021-10-25 8:29 AM,PDT,545,515,25,5
2021-10-22 9:56 PM,2021-10-23 7:58 AM,PDT,602,576,25,1
2021-10-21 11:04 PM,2021-10-22 7:27 AM,PDT,503,490,13,0
2021-10-21 1:20 AM,2021-10-21 7:25 AM,PDT,365,353,11,0
2021-10-20 12:35 AM,2021-10-20 6:34 AM,PDT,360,342,18,0
2021-10-18 11:11 PM,2021-10-19 7:27 AM,PDT,496,468,27,0
2021-10-17 11:18 PM,2021-10-18 6:56 AM,PDT,458,443,15,0
2021-10-17 12:19 AM,2021-10-17 8:15 AM,PDT,476,449,25,1
2021-10-16 12:03 AM,2021-10-16 8:12 AM,PDT,489,464,25,0
2021-10-15 12:06 AM,2021-10-15 6:55 AM,PDT,409,394,15,0
2021-10-13 10:58 PM,2021-10-14 8:22 AM,PDT,564,538,26,0
2021-10-12 10:36 PM,2021-10-13 6:30 AM,PDT,474,451,22,1
2021-10-10 11:31 PM,2021-10-11 6:43 AM,PDT,431,418,13,0
2021-10-09 11:01 PM,2021-10-10 7:52 AM,PDT,531,498,23,10
2021-10-08 11:34 PM,2021-10-09 7:25 AM,PDT,471,441,25,5
2021-10-07 11:31 PM,2021-10-08 7:00 AM,PDT,450,445,5,0
2021-10-06 11:39 PM,2021-10-07 6:57 AM,PDT,437,422,16,0
2021-10-05 11:09 PM,2021-10-06 7:31 AM,PDT,503,486,16,0
2021-10-04 10:39 PM,2021-10-05 7:00 AM,PDT,501,488,13,0
2021-10-03 11:59 PM,2021-10-04 6:28 AM,PDT,389,375,14,0
2021-10-03 12:56 AM,2021-10-03 8:17 AM,PDT,441,426,15,0
2021-10-01 11:37 PM,2021-10-02 7:31 AM,PDT,474,450,21,4
