Date,New Visitor,Returning Visitor
2018-01-01,9,36
2018-01-02,48,217
2018-01-03,6008,3094
2018-01-04,6202,3455
2018-01-05,4619,3190
2018-01-06,3569,1713
2018-01-07,3801,2146
2018-01-08,5378,4394
2018-01-09,5182,4443
2018-01-10,4698,4188
2018-01-11,5244,4308
2018-01-12,4068,3815
2018-01-13,3105,2234
2018-01-14,3163,2672
2018-01-15,3931,3734
2018-01-16,4757,5700
2018-01-17,4977,6143
2018-01-18,5370,5212
2018-01-19,17,370
2018-01-20,3,123
2018-01-21,2,124
2018-01-22,3620,4131
2018-01-23,4656,5071
2018-01-24,4350,5326
2018-01-25,4361,4974
2018-01-26,4578,4824
2018-01-27,2923,2548
2018-01-28,3259,3530
2018-01-29,4874,6051
2018-01-30,4483,5813
2018-01-31,4779,6418
2018-02-01,4963,6221
2018-02-02,3700,4537
2018-02-03,3678,2624
2018-02-04,2690,2970
2018-02-05,4453,6221
2018-02-06,4109,5363
2018-02-07,4143,5610
2018-02-08,4246,5055
2018-02-09,3747,4437
2018-02-10,3163,2523
2018-02-11,2904,3218
2018-02-12,4064,5504
2018-02-13,3799,5123
2018-02-14,3379,4296
2018-02-15,3830,4704
2018-02-16,3416,4133
2018-02-17,2746,2192
2018-02-18,2493,2637
2018-02-19,3237,3733
2018-02-20,3961,5488
2018-02-21,4371,5766
2018-02-22,4190,5216
2018-02-23,3914,4845
2018-02-24,3381,2864
2018-02-25,2981,3443
2018-02-26,4442,6041
2018-02-27,4178,5609
2018-02-28,4024,5719
2018-03-01,3774,5339
2018-03-02,1571,2153
2018-03-03,3069,2348
2018-03-04,2941,3044
2018-03-05,5078,5432
2018-03-06,5621,5244
2018-03-07,4421,5288
2018-03-08,4004,5394
2018-03-09,3592,4073
2018-03-10,3494,2127
2018-03-11,3543,2262
2018-03-12,4590,4203
2018-03-13,4928,4187
2018-03-14,5751,4975
2018-03-15,8988,5165
2018-03-16,6460,4494
2018-03-17,38707,4943
2018-03-18,7525,6661
2018-03-19,6616,8192
2018-03-20,6006,7455
2018-03-21,5565,6858
2018-03-22,13616,6725
2018-03-23,5921,6249
2018-03-24,3781,3224
2018-03-25,3631,4054
2018-03-26,4567,7176
2018-03-27,4377,7681
2018-03-28,4106,7023
2018-03-29,3647,5419
2018-03-30,2847,3152
2018-03-31,2901,2510
2018-04-01,2719,2694
2018-04-02,4080,4594
2018-04-03,4006,6730
2018-04-04,3770,6494
2018-04-05,3815,5955
2018-04-06,3352,5200
2018-04-07,2663,3143
2018-04-08,2847,4170
2018-04-09,4028,7316
2018-04-10,3895,6986
2018-04-11,4028,7111
2018-04-12,3901,6407
2018-04-13,4031,6045
2018-04-14,3283,4175
2018-04-15,3326,4833
2018-04-16,4226,7344
2018-04-17,4088,7009
2018-04-18,3908,6936
2018-04-19,4578,6779
2018-04-20,3753,5462
2018-04-21,2150,2783
2018-04-22,3729,3662
2018-04-23,3766,6932
2018-04-24,3516,6180
2018-04-25,3536,5941
2018-04-26,3223,5598
2018-04-27,3028,4581
2018-04-28,2181,3048
2018-04-29,2584,3948
2018-04-30,3744,7075
2018-05-01,3685,6322
2018-05-02,3462,5866
2018-05-03,3402,5594
2018-05-04,3057,4732
2018-05-05,2181,2838
2018-05-06,2586,4158
2018-05-07,3667,7134
2018-05-08,3645,6833
2018-05-09,3613,6206
2018-05-10,3540,5579
2018-05-11,3540,4854
2018-05-12,3280,3710
2018-05-13,2735,3549
2018-05-14,3343,4835
2018-05-15,3479,4389
2018-05-16,3343,4752
2018-05-17,3371,4413
2018-05-18,3781,4254
2018-05-19,2298,2501
2018-05-20,2106,2165
2018-05-21,4135,4745
2018-05-22,4896,5252
2018-05-23,3588,4244
2018-05-24,3036,3554
2018-05-25,2606,3041
2018-05-26,1894,1712
2018-05-27,1718,1528
2018-05-28,2038,2151
2018-05-29,2903,4006
2018-05-30,3220,4169
2018-05-31,2940,3867
2018-06-01,2598,3540
2018-06-02,1844,1886
2018-06-03,1969,1890
2018-06-04,2911,3669
2018-06-05,2751,3498
2018-06-06,2599,3353
2018-06-07,2553,3265
2018-06-08,2415,3090
2018-06-09,1761,1667
2018-06-10,1844,1838
2018-06-11,2889,3856
2018-06-12,2738,3759
2018-06-13,2645,3687
2018-06-14,2580,3879
2018-06-15,2373,3144
2018-06-16,1629,1684
2018-06-17,1733,1717
2018-06-18,2567,3521
2018-06-19,2436,3356
2018-06-20,2381,3198
2018-06-21,3145,3166
