Start,Day of the Week
11/15/2021 23:46,Monday
11/14/2021 23:10,Sunday
11/13/2021 0:04,Saturday
11/12/2021 22:49,Friday
11/11/2021 23:24,Thursday
11/10/2021 23:40,Wednesday
11/9/2021 22:41,Tuesday
11/8/2021 22:19,Monday
11/7/2021 22:02,Sunday
11/6/2021 21:42,Saturday
11/5/2021 23:29,Friday
11/4/2021 1:03,Thursday
11/3/2021 0:48,Wednesday
11/2/2021 19:30,Tuesday
11/1/2021 0:18,Monday
10/31/2021 0:30,Sunday
10/30/2021 0:40,Saturday
10/29/2021 22:31,Friday
10/28/2021 21:59,Thursday
10/27/2021 23:25,Wednesday
10/26/2021 23:35,Tuesday
10/25/2021 22:36,Monday
10/24/2021 23:24,Sunday
10/23/2021 22:10,Saturday
10/22/2021 21:56,Friday
10/21/2021 1:20,Thursday
10/20/2021 0:35,Wednesday
10/19/2021 0:21,Tuesday
10/18/2021 23:11,Monday
10/17/2021 0:19,Sunday
10/16/2021 0:03,Saturday
10/15/2021 0:06,Friday
10/14/2021 0:02,Thursday
10/13/2021 22:58,Wednesday
10/12/2021 22:36,Tuesday
10/11/2021 22:42,Monday
10/10/2021 23:31,Sunday
10/9/2021 23:01,Saturday
10/8/2021 23:34,Friday
10/7/2021 23:31,Thursday
10/6/2021 23:39,Wednesday
10/5/2021 23:09,Tuesday
10/4/2021 22:39,Monday
10/3/2021 23:59,Sunday
10/2/2021 0:56,Saturday
10/1/2021 23:37,Friday
9/30/2021 23:51,Thursday
9/29/2021 0:38,Wednesday
9/28/2021 23:34,Tuesday
9/27/2021 22:26,Monday
9/26/2021 23:24,Sunday
9/25/2021 23:34,Saturday
9/24/2021 23:21,Friday
9/23/2021 0:00,Thursday
9/22/2021 22:54,Wednesday
9/21/2021 23:09,Tuesday
9/20/2021 23:44,Monday
9/19/2021 23:15,Sunday
9/18/2021 0:09,Saturday
9/17/2021 23:33,Friday
9/16/2021 0:53,Thursday
9/15/2021 0:14,Wednesday
9/14/2021 0:10,Tuesday
9/13/2021 23:28,Monday
9/12/2021 23:45,Sunday
9/11/2021 23:56,Saturday
9/10/2021 21:41,Friday
9/9/2021 0:36,Thursday
9/8/2021 23:04,Wednesday
9/7/2021 22:55,Tuesday
9/6/2021 22:37,Monday
9/5/2021 23:30,Sunday
9/4/2021 22:22,Saturday
9/3/2021 23:14,Friday
9/2/2021 21:30,Thursday
9/1/2021 23:38,Wednesday
8/31/2021 23:45,Tuesday
