Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
11/15/2021 23:46,11/16/2021 7:37,PST,470,453,17,0
11/14/2021 23:10,11/15/2021 6:58,PST,468,452,16,0
11/13/2021 0:04,11/14/2021 9:00,PST,536,505,31,0
11/12/2021 22:49,11/13/2021 8:21,PST,572,485,60,28
11/11/2021 23:24,11/12/2021 7:16,PST,473,452,21,0
11/10/2021 23:40,11/11/2021 7:00,PST,440,418,22,0
11/9/2021 22:41,11/10/2021 6:45,PST,483,466,17,0
11/8/2021 22:19,11/9/2021 6:23,PST,485,473,11,0
11/7/2021 22:02,11/8/2021 6:30,PST,500,480,20,
11/6/2021 21:42,11/7/2021 7:12,PST,630,598,31,1
11/5/2021 23:29,11/6/2021 8:20,PST,531,505,24,2
11/4/2021 1:03,11/5/2021 6:48,PST,345,320,24,0
11/3/2021 0:48,11/4/2021 6:57,PST,369,357,12,0
11/2/2021 19:30,11/3/2021 8:52,PST,803,603,186,13
11/1/2021 0:18,11/1/2021 7:13,PST,415,399,15,0
10/31/2021 0:30,10/31/2021 7:58,PST,448,425,19,4
10/30/2021 0:40,10/30/2021 8:44,PST,485,459,25,0
10/29/2021 22:31,10/30/2021 7:30,PST,500,440,20,0
10/28/2021 21:59,10/29/2021 7:15,PST,556,530,26,1
10/27/2021 23:25,10/28/2021 7:23,PST,478,452,26,0
10/26/2021 23:35,10/27/2021 7:16,PST,461,438,23,0
10/25/2021 22:36,10/26/2021 7:26,PST,530,507,23,0
10/24/2021 23:24,10/25/2021 8:29,PST,545,515,25,5
10/23/2021 22:10,10/24/2021 8:09,PST,600,540,20,2
10/22/2021 21:56,10/23/2021 7:58,PST,602,576,25,1
10/21/2021 1:20,10/21/2021 7:25,PST,365,353,11,0
10/20/2021 0:35,10/20/2021 6:34,PST,360,342,18,0
10/19/2021 0:21,10/20/2021 6:45,PST,370,360,10,0
10/18/2021 23:11,10/19/2021 7:27,PST,496,468,27,0
10/17/2021 0:19,10/17/2021 8:15,PST,476,449,25,1
10/16/2021 0:03,10/16/2021 8:12,PST,489,464,25,0
10/15/2021 0:06,10/15/2021 6:55,PST,409,394,15,0
10/14/2021 0:02,10/15/2021 7:32,PST,500,490,10,0
10/13/2021 22:58,10/14/2021 8:22,PST,564,538,26,0
10/12/2021 22:36,10/13/2021 6:30,PST,474,451,22,1
10/11/2021 22:42,10/12/2021 6:38,PST,454,444,10,0
10/10/2021 23:31,10/11/2021 6:43,PST,431,418,13,0
10/9/2021 23:01,10/10/2021 7:52,PST,531,498,23,10
10/8/2021 23:34,10/9/2021 7:25,PST,471,441,25,5
10/7/2021 23:31,10/8/2021 7:00,PST,450,445,5,0
10/6/2021 23:39,10/7/2021 6:57,PST,437,422,16,0
10/5/2021 23:09,10/6/2021 7:31,PST,503,486,16,0
10/4/2021 22:39,10/5/2021 7:00,PST,501,488,13,0
10/3/2021 23:59,10/4/2021 6:28,PST,389,375,14,0
10/2/2021 0:56,10/3/2021 8:17,PST,441,426,15,0
10/1/2021 23:37,10/2/2021 7:31,PST,474,450,20,4
9/30/2021 23:51,10/1/2021 6:30,PST,399,388,11,0
9/29/2021 0:38,9/30/2021 7:00,PST,382,372,10,0
9/28/2021 23:34,9/29/2021 6:57,PST,443,427,17,0
9/27/2021 22:26,9/28/2021 6:59,PST,513,489,21,3
9/26/2021 23:24,9/27/2021 6:39,PST,435,403,20,12
9/25/2021 23:34,9/26/2021 8:38,PST,545,518,19,8
9/24/2021 23:21,9/25/2021 8:30,PST,530,520,10,0
9/23/2021 0:00,9/24/2021 8:01,PST,515,490,25,1
9/22/2021 22:54,9/23/2021 7:45,PST,500,470,29,1
9/21/2021 23:09,9/22/2021 7:05,PST,476,457,19,0
9/20/2021 23:44,9/21/2021 7:25,PST,461,441,19,2
9/19/2021 23:15,9/20/2021 9:30,PST,615,513,75,27
9/18/2021 0:09,9/18/2021 7:38,PST,449,437,12,0
9/17/2021 23:33,9/18/2021 6:52,PST,439,427,12,0
9/16/2021 0:53,9/16/2021 6:45,PST,352,344,8,0
9/15/2021 0:14,9/15/2021 6:39,PST,386,370,15,0
9/14/2021 0:10,9/15/2021 7:00,PST,400,403,16,0
9/13/2021 23:28,9/14/2021 7:35,PST,488,471,17,0
9/12/2021 23:45,9/13/2021 6:43,PST,418,400,18,0
9/11/2021 23:56,9/12/2021 8:31,PST,514,493,16,5
9/10/2021 21:41,9/11/2021 7:43,PST,602,576,25,1
9/9/2021 0:36,9/10/2021 6:44,PST,368,358,10,0
9/8/2021 23:04,9/9/2021 6:45,PST,461,439,21,0
9/7/2021 22:55,9/8/2021 6:28,PST,453,439,14,0
9/6/2021 22:37,9/7/2021 6:36,PST,479,463,16,0
9/5/2021 23:30,9/6/2021 6:45,PST,434,422,12,0
9/4/2021 22:22,9/5/2021 7:01,PST,519,488,30,0
9/3/2021 23:14,9/4/2021 7:52,PST,380,366,14,0
9/2/2021 21:30,9/3/2021 6:30,PST,540,484,38,18
9/1/2021 23:38,9/2/2021 6:26,PST,408,395,12,0
8/31/2021 23:45,9/1/2021 6:18,PST,393,384,9,0
